Trader Registration;;;;;
;;;;;
Haulage offer Approval actions;Haulage Bid - More information required;"Input Type: Radio Button Group; Options: Additional documentation required, Clarification on details, Update address, Other (free text required); Mandatory.";Haulage Rejection Reason;Text(255);haulage_rejection_reason__c
Documents for accepted bids;Document title + Clickable URL per document;;Not in SF;;
Admin-visible notes (per listing);Notes;"Multiline text; Alphanumeric and support for special characters and punctuation. Max 4000 chars. Supports line breaks. Optional.";;;
Load Details;Load number;"System generated from total loads/number of loads marked as shipped; Read‑only; Cannot be edited.";Load Number (Object: Haulage Loads);Text (255);load_number__c
;Collection date;"Input Type: Date picker; Constraints: Valid date format; Mandatory.";Collection Date (Object: Haulage Loads);Date;collection_date__c
;Shipped date;"Not stored on Salesforce; No input field.";Not in SF;;
;Gross weight;"Input Type: Text; Constraints: Max 255 characters; Optional.";Gross Weight (Object: Haulage Loads);Text(255);gross_weight__c
;Pallet weight;"Input Type: Text; Constraints: Max 255 characters; Optional.";Pallet Weight (Object: Haulage Loads);Text(255);pallet_weight__c
;;;;;
Samples;;;;;
;;;;;
Function;Wastetrade field;Constraints;Salesforce field;Constraints;Salesforce API Key
Samples;Sample ID;(system generated);;;
;Status;"Sample Requested
Sample Approved
Sample Dispatched
Sample In Transit
Customs Cleared
Sample Delivered
Customer Feedback Requested
Feedback Provided";;;
;Recieved Date;DD/MM/YYYY;;;
;Sent Date;DD/MM/YYYY;;;
;Notes;"Multiline text; Alphanumeric and support for special characters and punctuation. Max 4000 chars. Supports line breaks. Optional.";;;
;;;;;
MFI;;;;;
;;;;;
Function;Wastetrade field;Constraints;Salesforce field;Constraints;Salesforce API Key
MFI tests;MFI test ID;(system generated);;;
;Status;"Awaiting Payment
Pending
Tested";;;
;Tested Date;DD/MM/YYYY;;;
;Notes;"Multiline text; Alphanumeric and support for special characters and punctuation. Max 4000 chars. Supports line breaks. Optional.";;;
